R_fighter,B_fighter,Winner,weight_class,R_wins,R_losses,B_wins,B_losses,fight_number,B_Stance,B_Height_cms,B_Reach_cms,B_age,B_win_by_Decision,B_win_by_KO/TKO,B_win_by_Submission,R_Stance,R_Height_cms,R_Reach_cms,R_age,R_win_by_Decision,R_win_by_KO/TKO,R_win_by_Submission,Referee,date,location,title_bout,B_avg_KD,B_avg_SIG_STR_pct,B_avg_TD_pct,B_avg_TOTAL_STR_att,B_avg_TOTAL_STR_landed,B_avg_TD_att,B_avg_TD_landed,R_avg_KD,R_avg_SIG_STR_pct,R_avg_TD_pct,R_avg_TOTAL_STR_att,R_avg_TOTAL_STR_landed,R_avg_TD_att,R_avg_TD_landed
Thomas Almeida,Rob Font,Blue,Bantamweight,5,2,4,2,1545,Orthodox,172.72,180.34,30,0,3,1,Southpaw,170.18,177.8,26,1,4,0,Herb Dean,43120,"Boston, Massachusetts, USA",FALSE,0.1875,0.4903125,0.25625,88.9375,43.375,1.96875,0.65625,0.34375,0.4509375,0,116.203125,52.53125,0,0
Kyle Bochniak,Brandon Davis,Red,Featherweight,1,2,0,0,1546,Orthodox,177.8,182.88,27,0,0,0,Orthodox,170.18,177.8,30,1,0,0,Kevin MacDonald,43120,"Boston, Massachusetts, USA",FALSE,,,,,,,,0.25,0.3825,0.1325,106,45,2,0.5
Sabah Homasi,Abdul Razak Alhassan,Blue,Welterweight,0,2,2,1,1547,Orthodox,177.8,185.42,32,0,2,0,Orthodox,182.88,182.88,29,0,0,0,Steve Rita,43120,"Boston, Massachusetts, USA",FALSE,1.25,0.4625,0.165,66,31,1.5,0.5,0,0.53,0.5,75,39.5,2,1
Matt Bessette,Enrique Barzola,Blue,Featherweight,0,0,3,1,1548,Orthodox,170.18,177.8,28,3,0,0,Orthodox,177.8,177.8,33,0,0,0,Steve Rita,43120,"Boston, Massachusetts, USA",FALSE,0,0.4025,0.5275,212.375,107.875,12.75,7,,,,,,,
Dan Ige,Julio Arce,Blue,Featherweight,0,0,0,0,1549,Southpaw,170.18,177.8,28,0,0,0,Orthodox,170.18,180.34,26,0,0,0,Kevin MacDonald,43120,"Boston, Massachusetts, USA",FALSE,,,,,,,,,,,,,,
Islam Makhachev,Gleison Tibau,Red,Lightweight,3,1,16,10,1550,Southpaw,177.8,180.34,34,11,1,4,Southpaw,177.8,177.8,26,2,0,1,Dan Miragliotta,43120,"Boston, Massachusetts, USA",FALSE,0.0001373291016,0.4100997028,0.4274883088,37.46703619,14.53227696,3.481623679,1.721451789,0,0.64,0.825,96.125,68.875,4.125,3.875
Matt Frevola,Marco Polo Reyes,Blue,Lightweight,0,0,3,1,1551,Orthodox,180.34,180.34,33,1,2,0,Orthodox,175.26,180.34,27,0,0,0,Dan Miragliotta,43114,"St. Louis, Missouri, USA",FALSE,0.375,0.36125,0,110.25,45,0,0,,,,,,,
Kyung Ho Kang,Guido Cannetti,Red,Bantamweight,2,2,1,1,1552,Southpaw,167.64,172.72,38,1,0,0,Orthodox,175.26,185.42,30,1,0,1,Marc Wasem,43114,"St. Louis, Missouri, USA",FALSE,0,0.545,0.535,70.5,41.5,4.5,2.5,0,0.405,0.44375,118.5,75.75,2,1.5
James Krause,Alex White,Red,Lightweight,5,3,3,3,1553,Southpaw,182.88,180.34,29,1,2,0,Orthodox,187.96,185.42,31,2,1,2,Mario Yamasaki,43114,"St. Louis, Missouri, USA",FALSE,1.53125,0.441875,0.073125,116.09375,57.6875,1.0625,0.4375,0,0.518984375,0.16390625,154.9375,81.0625,4.421875,0.6328125
Darren Elkins,Michael Johnson,Red,Featherweight,13,4,9,8,1554,Southpaw,177.8,185.42,31,5,4,0,Orthodox,177.8,180.34,33,10,3,0,Dan Miragliotta,43114,"St. Louis, Missouri, USA",FALSE,0.134185791,0.3721234131,0.2471075439,155.1985321,62.8427887,1.613616943,0.5899200439,0.2504882813,0.4749002075,0.316907959,181.5570068,111.4150696,7.283248901,2.810302734
Kamaru Usman,Emil Meek,Red,Welterweight,6,0,1,0,1555,Switch,180.34,187.96,29,1,0,0,Switch,182.88,193.04,30,4,1,1,Keith Peterson,43114,"St. Louis, Missouri, USA",FALSE,0,0.37,0.5,190,96,2,1,0.75,0.4284375,0.1971875,119.625,67.96875,3.46875,1.3125
Jeremy Stephens,Dooho Choi,Red,Featherweight,13,13,3,1,1556,Orthodox,177.8,177.8,26,0,3,0,Orthodox,175.26,180.34,31,7,5,0,Keith Peterson,43114,"St. Louis, Missouri, USA",FALSE,0.5,0.55125,0.1,92.875,48.5,2.5,0.5,2.657257378,0.3406611219,0.003271042109,219.1641461,81.78534758,0.7582751513,0.01307380199
Paige VanZant,Jessica-Rose Clark,Blue,WomenFlyweight,4,2,1,0,1557,Orthodox,165.1,162.56,30,1,0,0,Orthodox,162.56,165.1,23,1,2,1,Mario Yamasaki,43114,"St. Louis, Missouri, USA",FALSE,0,0.58,0.66,181,108,3,2,0.25,0.4025,0.054375,66.9375,39.625,1.53125,0.34375
Talita Bernardo,Irene Aldana,Blue,WomenBantamweight,0,1,0,2,1558,Orthodox,175.26,172.72,29,0,0,0,Orthodox,162.56,172.72,30,0,0,0,Mario Yamasaki,43114,"St. Louis, Missouri, USA",FALSE,0,0.395,0.5,240,96.5,0.5,0.5,0,0.25,0.42,112,38,7,3
Mads Burnell,Mike Santiago,Red,Featherweight,0,1,0,1,1559,Orthodox,177.8,175.26,28,0,0,0,Orthodox,172.72,175.26,23,0,0,0,Marc Wasem,43114,"St. Louis, Missouri, USA",FALSE,0,0.35,0.28,77,32,7,2,0,0.33,0,32,12,0,0
Danielle Taylor,JJ Aldrich,Blue,WomenStrawweight,2,1,1,1,1560,Southpaw,165.1,170.18,25,1,0,0,Orthodox,152.4,152.4,28,2,0,0,Keith Peterson,43114,"St. Louis, Missouri, USA",FALSE,0,0.39,0,203,104.5,0,0,0,0.3075,0.25,157,53.5,0.75,0.25
Kalindra Faria,Jessica Eye,Blue,WomenFlyweight,0,1,1,6,1561,Orthodox,167.64,167.64,31,0,0,0,Switch,170.18,,31,0,0,0,Dan Miragliotta,43114,"St. Louis, Missouri, USA",FALSE,0,0.35046875,0.125,148.71875,56.09375,0.125,0.125,0,0,0,4,0,0,0
Khabib Nurmagomedov,Edson Barboza,Red,Lightweight,8,0,13,4,1562,Orthodox,180.34,190.5,31,7,6,0,Orthodox,177.8,177.8,29,4,2,2,John McCarthy,43099,"Las Vegas, Nevada, USA",FALSE,0.5057373047,0.3942803955,0.2912805176,110.8450775,46.26779175,0.5010681152,0.3750610352,0.0234375,0.613515625,0.447265625,161.5,113.875,6.953125,3.2421875
Cristiane Justino,Holly Holm,Red,WomenFeatherweight,3,0,4,3,1563,Southpaw,172.72,175.26,36,2,2,0,Orthodox,172.72,172.72,32,0,3,0,Herb Dean,43099,"Las Vegas, Nevada, USA",TRUE,0.53125,0.4278125,0.046875,131.9375,59.40625,2.296875,0.046875,0.75,0.5825,0.25,119,70,1,0.5
Dan Hooker,Marc Diakiese,Red,Lightweight,4,3,3,1,1564,Orthodox,177.8,185.42,24,1,2,0,Switch,182.88,190.5,27,0,3,1,Herb Dean,43099,"Las Vegas, Nevada, USA",FALSE,0.25,0.51625,0.3475,79.625,45.375,4.75,1.875,0.53125,0.46859375,0.020625,119.4375,61.234375,0.6875,0.0625
Marvin Vettori,Omari Akhmedov,Draw,Middleweight,2,1,5,3,1565,Orthodox,182.88,185.42,30,3,2,0,Southpaw,182.88,187.96,24,1,0,1,Chris Tognoni,43099,"Las Vegas, Nevada, USA",FALSE,0.0703125,0.328359375,0.64265625,163.453125,75.4375,6.6171875,4.2734375,0,0.49,0.71,141,77.75,4,2
Cynthia Calvillo,Carla Esparza,Blue,WomenStrawweight,3,0,3,2,1566,Orthodox,154.94,160.02,30,2,0,1,Orthodox,162.56,162.56,30,1,0,2,Chris Tognoni,43099,"Las Vegas, Nevada, USA",FALSE,0,0.3925,0.44625,169.875,103.5625,11.875,5,0,0.4375,0.7,113.75,51,3,1.5
Myles Jury,Rick Glenn,Red,Featherweight,7,2,2,1,1567,Southpaw,182.88,177.8,28,2,0,0,Orthodox,177.8,185.42,29,3,3,1,John McCarthy,43099,"Las Vegas, Nevada, USA",FALSE,0.5,0.5,0.285,215.5,122.75,7,2,0.0703125,0.505234375,0.568828125,50.203125,28.78515625,1.6640625,0.80859375
Khalil Rountree Jr.,Michal Oleksiejczuk,Draw,LightHeavyweight,2,2,0,0,1568,Southpaw,182.88,187.96,22,0,0,0,Southpaw,185.42,193.04,27,0,2,0,Herb Dean,43099,"Las Vegas, Nevada, USA",FALSE,,,,,,,,0.875,0.52125,0,36.25,17.25,0,0
Carlos Condit,Neil Magny,Blue,Welterweight,7,6,12,5,1569,Orthodox,190.5,203.2,30,7,4,1,Orthodox,187.96,190.5,33,2,4,0,John McCarthy,43099,"Las Vegas, Nevada, USA",FALSE,0.000244140625,0.3483331299,0.3057391357,68.33152771,45.7819519,1.610580444,0.5807495117,0.1669921875,0.2665283203,0.08280517578,173.5742188,69.71704102,0.4399414063,0.2509765625
Louis Smolka,Matheus Nicolau,Blue,Flyweight,5,4,2,0,1570,Orthodox,167.64,167.64,24,1,0,1,Orthodox,175.26,172.72,26,2,2,1,John McCarthy,43099,"Las Vegas, Nevada, USA",FALSE,1,0.535,0.375,109,67,2.5,1.5,0.0078125,0.4140625,0.294921875,86.3359375,43.11328125,3.02734375,0.91796875
Tim Elliott,Mark De La Rosa,Red,Bantamweight,3,6,0,0,1571,Orthodox,167.64,165.1,23,0,0,0,Southpaw,170.18,167.64,31,3,0,0,Chris Tognoni,43099,"Las Vegas, Nevada, USA",FALSE,,,,,,,,0.00390625,0.3951171875,0.417578125,76.99609375,53.3828125,5.40234375,3.76171875
Julian Marquez,Darren Stewart,Red,Middleweight,0,0,0,3,1572,Orthodox,182.88,187.96,26,0,0,0,Orthodox,187.96,182.88,27,0,0,0,Jerin Valel,43085,"Winnipeg, Manitoba, Canada",FALSE,0,0.43,0.175,41.75,22,2.25,0.5,,,,,,,
Ricardo Lamas,Josh Emmett,Blue,Featherweight,9,3,3,1,1573,Orthodox,167.64,177.8,32,3,0,0,Orthodox,172.72,180.34,35,3,3,3,Jerin Valel,43085,"Winnipeg, Manitoba, Canada",FALSE,2,0.33625,0.3325,192.5,68.875,3,1.5,0.01611328125,0.5895605469,0.7841748047,64.671875,38.62744141,2.004394531,0.9624023438
Glover Teixeira,Misha Cirkunov,Red,LightHeavyweight,9,4,4,1,1574,Orthodox,190.5,195.58,30,0,1,3,Orthodox,187.96,193.04,38,2,3,3,Dan Miragliotta,43085,"Winnipeg, Manitoba, Canada",FALSE,0,0.485,0.284375,40.3125,22.625,1.75,1,0.06518554688,0.3620214844,0.3603027344,131.0727539,64.16845703,3.454345703,1.334228516
Chad Laprise,Galore Bofando,Red,Welterweight,5,2,1,0,1575,Switch,180.34,182.88,35,0,1,0,Orthodox,177.8,180.34,31,3,2,0,Yves Lavigne,43085,"Winnipeg, Manitoba, Canada",FALSE,0,0.4,1,25,10,1,1,1,0.4321875,0.50890625,138.078125,59.359375,0.640625,0.5625
Robbie Lawler,Rafael Dos Anjos,Blue,Welterweight,13,5,16,7,1576,Southpaw,172.72,177.8,33,9,4,3,Southpaw,180.34,187.96,35,7,6,0,Herb Dean,43085,"Winnipeg, Manitoba, Canada",FALSE,0.006385803223,0.6400063682,0.07411131382,97.32063651,52.09894943,2.119481802,0.4120016098,0.1983337402,0.492287674,0.01693534851,130.2372131,67.82250977,0.5406570435,0.03276824951
Nordine Taleb,Danny Roberts,Red,Welterweight,5,2,3,1,1577,Southpaw,185.42,187.96,30,1,1,1,Orthodox,185.42,187.96,36,4,1,0,Jerin Valel,43085,"Winnipeg, Manitoba, Canada",FALSE,0.5,0.3675,0,112.75,44,1.5,0,0.125,0.55015625,0.6796875,100.9375,60.359375,1.5625,1.40625
Jared Cannonier,Jan Blachowicz,Blue,LightHeavyweight,3,2,3,4,1578,Orthodox,187.96,198.12,34,1,1,1,Switch,180.34,195.58,33,1,2,0,Herb Dean,43085,"Winnipeg, Manitoba, Canada",FALSE,0.25,0.6171875,0.71875,93.140625,60.28125,1.453125,1.03125,0.0625,0.550625,0.5,111,65.6875,0.75,0.5
Santiago Ponzinibbio,Mike Perry,Red,Welterweight,7,2,4,1,1579,Orthodox,177.8,180.34,26,0,4,0,Orthodox,182.88,185.42,31,3,4,0,Yves Lavigne,43085,"Winnipeg, Manitoba, Canada",FALSE,1.25,0.53875,0,53.0625,26.6875,0,0,0.8515625,0.484375,0.002578125,78.1953125,32.3671875,0.0703125,0.0078125
Alessio Di Chirico,Oluwale Bamgbose,Red,Middleweight,1,2,1,3,1580,Switch,180.34,198.12,30,0,1,0,Orthodox,182.88,187.96,28,1,0,0,Herb Dean,43085,"Winnipeg, Manitoba, Canada",FALSE,0.375,0.485,0.2,67.375,40.375,2.5,1,0.25,0.4675,0.2475,90.75,48.5,2.25,1
John Makdessi,Abel Trujillo,Red,Lightweight,7,6,6,4,1581,Orthodox,172.72,177.8,34,1,3,1,Orthodox,172.72,172.72,32,4,3,0,Dan Miragliotta,43085,"Winnipeg, Manitoba, Canada",FALSE,0.048828125,0.335859375,0.376796875,50.3203125,23.80078125,3.7578125,1.359375,0.07080078125,0.6937329102,0,91.77856445,55.36523438,0.3125,0
Jordan Mein,Erick Silva,Red,Welterweight,3,4,7,7,1582,Orthodox,182.88,187.96,33,0,2,5,Orthodox,182.88,185.42,28,1,2,0,Yves Lavigne,43085,"Winnipeg, Manitoba, Canada",FALSE,0.2579345703,0.4836889648,0.06282226563,69.41113281,34.71386719,0.9467773438,0.2041015625,0.09375,0.55296875,0.26125,70.375,41.28125,4.375,1.375
Luke Sanders,Andre Soukhamthath,Blue,Bantamweight,1,1,0,2,1583,Orthodox,175.26,177.8,29,0,0,0,Southpaw,167.64,170.18,31,0,0,1,Josh Rosenthal,43078,"Fresno, California, USA",FALSE,1.5,0.395,0,128,58.5,0.5,0,0.5,0.62,0.25,115.5,80.5,1,0.5
Eryk Anders,Markus Perez,Red,Middleweight,1,0,0,0,1584,Orthodox,185.42,185.42,29,0,0,0,Southpaw,185.42,190.5,30,0,1,0,Mark Smith,43078,"Fresno, California, USA",FALSE,,,,,,,,1,0.79,0.5,29,23,2,1
Jason Knight,Gabriel Benitez,Blue,Featherweight,4,2,3,2,1585,Southpaw,172.72,180.34,29,1,0,2,Orthodox,177.8,180.34,25,2,1,1,Mark Smith,43078,"Fresno, California, USA",FALSE,0.25,0.370625,0,126.4375,52.6875,0,0,0.25,0.3353125,0.346875,88.0625,40.34375,2.375,1.03125
Albert Morales,Benito Lopez,Blue,Bantamweight,1,3,0,0,1586,Switch,177.8,185.42,23,0,0,0,Orthodox,175.26,182.88,26,1,0,0,Mike Bell,43078,"Fresno, California, USA",FALSE,,,,,,,,0,0.2975,0.145,160,63.625,1.125,0.375
Scott Holtzman,Darrell Horcher,Red,Lightweight,3,2,1,1,1587,Southpaw,177.8,177.8,30,1,0,0,Orthodox,175.26,175.26,34,2,0,1,Mike Beltran,43078,"Fresno, California, USA",FALSE,0,0.35,0,70,37,0,0,0.625,0.4925,0.608125,192.25,104.4375,3.875,2.3125
Marlon Moraes,Aljamain Sterling,Red,Bantamweight,1,1,6,2,1588,Orthodox,170.18,180.34,28,3,1,2,Orthodox,167.64,170.18,29,1,0,0,Mike Bell,43078,"Fresno, California, USA",FALSE,0,0.5159375,0.65,178.2265625,110.734375,2.9296875,1.2265625,0,0.315,0.25,140.5,44.5,2,0.5
Cub Swanson,Brian Ortega,Blue,Featherweight,10,3,4,1,1589,Switch,172.72,175.26,26,0,2,2,Orthodox,172.72,177.8,34,6,4,0,Mike Beltran,43078,"Fresno, California, USA",FALSE,0.3125,0.31375,0.020625,179.3125,55.9375,1.3125,0.0625,0.1306152344,0.6161474609,0.5613476563,264.0124512,177.2890625,2.977783203,1.633544922
Alexis Davis,Liz Carmouche,Red,WomenFlyweight,5,2,3,3,1590,Orthodox,167.64,167.64,33,2,1,0,Orthodox,167.64,172.72,33,4,0,1,Frank Trigg,43078,"Fresno, California, USA",FALSE,0,0.488125,0.53,116.125,79.4375,6.53125,3.28125,0,0.47640625,0.0775,138.046875,83.46875,0.53125,0.203125
Frankie Saenz,Merab Dvalishvili,Red,Bantamweight,3,3,0,0,1591,Orthodox,167.64,172.72,26,0,0,0,Orthodox,167.64,167.64,37,3,0,0,Frank Trigg,43078,"Fresno, California, USA",FALSE,,,,,,,,0.5,0.3971875,0.113125,131.59375,60.34375,4.15625,0.5625
Chris Gruetzemacher,Davi Ramos,Blue,Lightweight,1,1,0,1,1592,Orthodox,167.64,177.8,31,0,0,0,Orthodox,172.72,172.72,31,1,0,0,Mark Lawley,43078,"Fresno, California, USA",FALSE,0,0.28,0,122,35,1,0,0,0.605,0,150,100,0,0
Alejandro Perez,Iuri Alcantara,Red,Bantamweight,4,2,9,6,1593,Southpaw,175.26,180.34,37,5,2,2,Orthodox,167.64,170.18,28,2,2,0,Josh Rosenthal,43078,"Fresno, California, USA",FALSE,0.130859375,0.42347229,0.6392895508,51.71569824,22.18603516,1.101318359,0.8023681641,0,0.3690625,0.178125,165.5,80.34375,3.84375,0.78125
Carls John De Tomas,Alex Perez,Blue,Bantamweight,0,1,0,0,1594,Orthodox,167.64,165.1,25,0,0,0,Southpaw,165.1,180.34,21,0,0,0,Mark Lawley,43078,"Fresno, California, USA",FALSE,,,,,,,,0,0.4,0.5,102,53,4,2
Antonio Braga Neto,Trevin Giles,Blue,Middleweight,1,1,1,0,1595,Orthodox,182.88,187.96,25,0,1,0,Orthodox,190.5,195.58,30,0,0,1,Frank Trigg,43078,"Fresno, California, USA",FALSE,0,0.77,1,66,54,5,5,0,0.45,0.35,55,39.5,5.5,2
Henry Cejudo,Sergio Pettis,Red,Flyweight,5,2,7,2,1596,Orthodox,167.64,175.26,24,7,0,0,Orthodox,162.56,162.56,30,4,1,0,Keith Peterson,43071,"Detroit, Michigan, USA",FALSE,0.0625,0.3457421875,0.33609375,199.8125,74.2421875,2.6328125,0.98046875,0.765625,0.4725,0.71640625,104.078125,49.515625,3.671875,1.625
David Teymur,Drakkar Klose,Red,Lightweight,3,0,2,0,1597,Orthodox,175.26,177.8,29,2,0,0,Southpaw,175.26,185.42,28,1,2,0,Herb Dean,43071,"Detroit, Michigan, USA",FALSE,0,0.55,0.71,149.5,99,4.5,2.5,0.5,0.4875,0.39,130,64.25,4,1.25
Alistair Overeem,Francis Ngannou,Blue,Heavyweight,8,4,5,0,1598,Orthodox,193.04,210.82,31,0,3,1,Orthodox,193.04,203.2,37,3,5,0,Dan Miragliotta,43071,"Detroit, Michigan, USA",FALSE,0.5625,0.665625,0,19.6875,10.75,0,0,0.4731445313,0.6290136719,0.06689453125,50.11035156,35.03369141,0.3959960938,0.07080078125
Tecia Torres,Michelle Waterson,Red,WomenStrawweight,5,1,2,1,1599,Orthodox,160.02,157.48,31,0,0,2,Orthodox,154.94,152.4,28,4,0,1,Keith Peterson,43071,"Detroit, Michigan, USA",FALSE,0,0.7,1,56.5,44.25,1.5,1.5,0.03125,0.555625,0.16125,117.125,66.25,4.78125,0.34375
Max Holloway,Jose Aldo,Red,Featherweight,14,3,8,2,1600,Orthodox,170.18,177.8,31,6,2,0,Orthodox,180.34,175.26,25,5,7,2,Herb Dean,43071,"Detroit, Michigan, USA",TRUE,0.068359375,0.4346289063,0.04529296875,133.0449219,60.36523438,0.173828125,0.150390625,0.754989624,0.4887591553,0.3203125,210.7380371,110.1473999,0.5704345703,0.5703125
Charles Oliveira,Paul Felder,Blue,Lightweight,10,8,6,3,1601,Orthodox,180.34,177.8,33,2,3,1,Orthodox,177.8,187.96,28,1,0,9,Dan Miragliotta,43071,"Detroit, Michigan, USA",FALSE,0.75390625,0.5091015625,0.01953125,64.16015625,31.89453125,0.26171875,0.06640625,0.01565551758,0.5101377106,0.8710716248,31.61619568,20.99025726,3.095481873,2.112228394
Alex Oliveira,Yancy Medeiros,Blue,Welterweight,7,3,5,5,1602,Orthodox,177.8,190.5,30,1,1,3,Orthodox,180.34,193.04,29,2,3,2,BobbyWombacher,43071,"Detroit, Michigan, USA",FALSE,1.205078125,0.331015625,0,104.1953125,36.07617188,0.1875,0,0.6328125,0.4782617188,0.2014453125,34.16015625,20.38476563,4.728515625,1.962890625
Eddie Alvarez,Justin Gaethje,Red,Lightweight,3,3,1,0,1603,Orthodox,180.34,177.8,29,0,1,0,Orthodox,175.26,175.26,33,2,1,0,Herb Dean,43071,"Detroit, Michigan, USA",FALSE,0,0.59,0,174,104,0,0,0,0.348125,0.1996875,101.3125,39.09375,4.5625,1.09375
Sabah Homasi,Abdul Razak Alhassan,Blue,Welterweight,0,1,1,1,1604,Orthodox,177.8,185.42,32,0,1,0,Orthodox,182.88,182.88,29,0,0,0,Herb Dean,43071,"Detroit, Michigan, USA",FALSE,1.5,0.485,0,62,28,0,0,0,0.41,1,88,38,2,2
Jeremy Kimball,Dominick Reyes,Blue,LightHeavyweight,1,1,1,0,1605,Southpaw,193.04,195.58,27,0,1,0,Switch,182.88,182.88,26,0,1,0,BobbyWombacher,43071,"Detroit, Michigan, USA",FALSE,1,0.81,0,16,13,0,0,0.5,0.485,0,23,13,0,0
Justin Willis,Allen Crowder,Red,Heavyweight,1,0,0,0,1606,Orthodox,190.5,193.04,28,0,0,0,Southpaw,185.42,198.12,30,1,0,0,Dan Miragliotta,43071,"Detroit, Michigan, USA",FALSE,,,,,,,,0,0.57,0.75,114,72,4,3
Amanda Cooper,Angela Magana,Red,WomenStrawweight,1,2,0,2,1607,Orthodox,154.94,165.1,34,0,0,0,Switch,160.02,162.56,26,1,0,0,Keith Peterson,43071,"Detroit, Michigan, USA",FALSE,0,0.29,0.5,91,28.5,1.5,0.5,0,0.2875,0.165,69.5,30.75,1.25,0.5
Felice Herrig,Cortney Casey,Red,WomenStrawweight,4,1,3,3,1608,Orthodox,170.18,170.18,30,1,1,1,Orthodox,162.56,165.1,33,2,0,2,BobbyWombacher,43071,"Detroit, Michigan, USA",FALSE,0,0.3990625,0.0625,227.625,108.875,0.375,0.125,0,0.43625,0.5125,166.1875,89.625,3.9375,1.6875
Eric Spicely,Gerald Meerschaert,Blue,Middleweight,2,2,2,1,1609,Southpaw,185.42,195.58,29,0,0,2,Orthodox,185.42,185.42,31,0,0,2,Herb Dean,43070,"Las Vegas, Nevada, USA",FALSE,0,0.4825,0.185,26.5,13.25,4.5,1.5,0,0.58125,0.395,28.75,22.625,2.5,0.875
Barb Honchak,Lauren Murphy,Blue,WomenFlyweight,0,0,1,3,1610,Orthodox,165.1,170.18,34,0,1,0,Orthodox,162.56,165.1,38,0,0,0,John McCarthy,43070,"Las Vegas, Nevada, USA",FALSE,0,0.395,0.235,213.375,123,3.875,1,,,,,,,
Christina Marks,Montana De La Rosa,Blue,WomenFlyweight,0,0,0,0,1611,Orthodox,170.18,172.72,22,0,0,0,Orthodox,170.18,175.26,32,0,0,0,Chris Tognoni,43070,"Las Vegas, Nevada, USA",FALSE,,,,,,,,,,,,,,
Andrew Sanchez,Ryan Janes,Blue,Middleweight,2,1,1,2,1612,Orthodox,190.5,193.04,36,1,0,0,Orthodox,185.42,187.96,29,2,0,0,Mark Smith,43070,"Las Vegas, Nevada, USA",FALSE,0,0.4025,0.25,176.75,86.75,0.25,0.25,0,0.57,0.325,167.5,101.25,8,3.5
DeAnna Bennett,Melinda Fabian,Draw,WomenFlyweight,0,0,0,0,1613,,167.64,167.64,30,0,0,0,Orthodox,162.56,172.72,33,0,0,0,John McCarthy,43070,"Las Vegas, Nevada, USA",FALSE,,,,,,,,,,,,,,
Nicco Montano,Roxanne Modafferi,Red,WomenFlyweight,0,0,0,1,1614,Orthodox,170.18,175.26,35,0,0,0,Southpaw,165.1,165.1,28,0,0,0,John McCarthy,43070,"Las Vegas, Nevada, USA",TRUE,0,0.21,0,218,63,7,0,,,,,,,
Sean O'Malley,Terrion Ware,Red,Bantamweight,0,0,0,1,1615,Orthodox,172.72,180.34,31,0,0,0,Switch,180.34,182.88,23,0,0,0,Herb Dean,43070,"Las Vegas, Nevada, USA",FALSE,0,0.39,0,177,78,1,0,,,,,,,
Joe Soto,Brett Johns,Blue,Bantamweight,3,3,2,0,1616,Orthodox,170.18,180.34,25,2,0,0,Orthodox,167.64,165.1,30,1,0,2,Mark Smith,43070,"Las Vegas, Nevada, USA",FALSE,0,0.57,0.665,201,149.5,10,7,0,0.58,0.788125,122.71875,65.5,1.96875,0.9375
Ariel Beck,Shana Dobson,Blue,WomenFlyweight,0,0,0,0,1617,Orthodox,167.64,175.26,28,0,0,0,Southpaw,167.64,167.64,27,0,0,0,Mark Smith,43070,"Las Vegas, Nevada, USA",FALSE,,,,,,,,,,,,,,
Karine Gevorgyan,Rachael Ostovich,Blue,WomenFlyweight,0,0,0,0,1618,Orthodox,160.02,157.48,26,0,0,0,,162.56,160.02,28,0,0,0,Chris Tognoni,43070,"Las Vegas, Nevada, USA",FALSE,,,,,,,,,,,,,,
Gillian Robertson,Emily Whitmire,Red,WomenFlyweight,0,0,0,0,1619,Orthodox,165.1,160.02,26,0,0,0,Orthodox,165.1,160.02,22,0,0,0,Chris Tognoni,43070,"Las Vegas, Nevada, USA",FALSE,,,,,,,,,,,,,,
Muslim Salikhov,Alex Garcia,Blue,Welterweight,0,0,4,3,1620,Orthodox,175.26,182.88,30,2,2,0,Orthodox,180.34,177.8,33,0,0,0,John Sharp,43064,"Shanghai, Hebei, China",FALSE,0.28125,0.30203125,0.264375,108.828125,31.328125,4.578125,1.15625,,,,,,,
Michael Bisping,Kelvin Gastelum,Blue,Middleweight,20,8,8,4,1621,Southpaw,175.26,180.34,26,4,2,2,Orthodox,185.42,190.5,38,10,10,0,Marc Goddard,43064,"Shanghai, Hebei, China",FALSE,1.187988281,0.5339990234,0.0313671875,78.08837891,42.75341797,0.201171875,0.0849609375,0.3164369017,0.3093235257,0.0001292985678,191.4626087,72.26532736,0.08251684904,0.001216098666
Song Yadong,Bharat Kandare,Red,Featherweight,0,0,0,0,1622,Orthodox,170.18,182.88,30,0,0,0,Orthodox,172.72,170.18,19,0,0,0,John Sharp,43064,"Shanghai, Hebei, China",FALSE,,,,,,,,,,,,,,
Zabit Magomedsharipov,Sheymon Moraes,Red,Featherweight,1,0,0,0,1623,Orthodox,172.72,182.88,27,0,0,0,Orthodox,185.42,185.42,26,0,0,1,Marc Goddard,43064,"Shanghai, Hebei, China",FALSE,,,,,,,,0,0.69,0.33,97,70,3,1
Kailin Curran,Yan Xiaonan,Blue,WomenStrawweight,1,5,0,0,1624,Orthodox,165.1,160.02,28,0,0,0,Orthodox,162.56,165.1,26,0,0,1,Thomas Fan,43064,"Shanghai, Hebei, China",FALSE,,,,,,,,0,0.4509375,0.274375,176.9375,107.40625,1.84375,0.78125
Song Kenan,Bobby Nash,Red,Welterweight,0,0,0,2,1625,Orthodox,182.88,187.96,27,0,0,0,Orthodox,182.88,180.34,27,0,0,0,Herb Dean,43064,"Shanghai, Hebei, China",FALSE,0.5,0.375,0.325,109,52.5,4.5,1.5,,,,,,,
Li Jingliang,Zak Ottow,Red,Welterweight,5,2,2,1,1626,Orthodox,180.34,182.88,30,2,0,0,Orthodox,182.88,180.34,29,2,3,0,Herb Dean,43064,"Shanghai, Hebei, China",FALSE,0,0.425,0.33,150.5,81.5,2.25,1,0.34375,0.4928125,0.3365625,127.296875,67.734375,4.15625,1.25
Wang Guan,Alex Caceres,Red,Featherweight,0,0,8,9,1627,Southpaw,177.8,185.42,29,5,0,2,Orthodox,175.26,180.34,31,0,0,0,Steve Perceval,43064,"Shanghai, Hebei, China",FALSE,0.564453125,0.4843017578,0.1998266602,106.0721436,52.81192017,0.5332641602,0.4707641602,,,,,,,
