R_fighter,B_fighter,Winner,weight_class,R_wins,R_losses,B_wins,B_losses,fight_number
Robert Whittaker,Jared Cannonier,Red,Middleweight,12,3,6,4,203
Lauren Murphy,Liliya Shakirova,Red,WomenFlyweight,5,4,0,0,204
Khabib Nurmagomedov,Justin Gaethje,Red,Lightweight,12,0,5,2,205
Nathaniel Wood,Casey Kenney,Blue,CatchWeight,4,1,4,1,206
Joel Alvarez,Alexander Yakovlev,Red,Lightweight,2,1,3,5,207
Liana Jojua,Miranda Maverick,Blue,WomenFlyweight,1,1,0,0,208
Da-Un Jung,Sam Alvey,Draw,LightHeavyweight,2,0,10,9,209
Alex Oliveira,Shavkat Rakhmonov,Blue,Welterweight,11,7,0,0,210
Katlyn Chookagian,Jessica Andrade,Blue,WomenFlyweight,7,3,11,6,211
Thomas Almeida,Jonathan Martinez,Blue,Featherweight,5,3,3,2,212
Jimmy Crute,Modestas Bukauskas,Red,LightHeavyweight,3,1,1,0,213
Mateusz Gamrot,Guram Kutateladze,Blue,Lightweight,0,0,0,0,214
Junyong Park,John Phillips,Red,Middleweight,1,1,1,4,215
Gillian Robertson,Poliana Botelho,Red,WomenFlyweight,5,2,3,1,216
Claudio Silva,James Krause,Blue,Welterweight,5,0,8,4,217
Brian Ortega,Chan Sung Jung,Red,Featherweight,6,2,6,2,218
Gadzhimurad Antigulov,Maxim Grishin,Blue,LightHeavyweight,2,3,0,1,219
Said Nurmagomedov,Mark Striegl,Red,Bantamweight,2,1,0,0,220
Jamie Mullarkey,Fares Ziam,Blue,Lightweight,0,1,0,1,221
Marlon Moraes,Cory Sandhagen,Blue,Bantamweight,5,2,5,1,222
Tom Breese,KB Bhullar,Red,Middleweight,4,2,0,0,223
Chris Daukaus,Rodrigo Nascimento,Red,Heavyweight,1,0,1,0,224
Markus Perez,Dricus Du Plessis,Blue,Middleweight,2,3,0,0,225
Ben Rothwell,Marcin Tybura,Blue,Heavyweight,8,6,6,5,226
Youssef Zalal,Ilia Topuria,Blue,Featherweight,3,0,0,0,227
Tom Aspinall,Alan Baudot,Red,Heavyweight,1,0,0,0,228
Edson Barboza,Makwan Amirkhani,Red,Featherweight,14,9,6,2,229
Impa Kasanganay,Joaquin Buckley,Blue,Middleweight,1,0,0,1,230
Giga Chikadze,Omar Morales,Red,Featherweight,3,0,2,0,231
Ali AlQaisi,Tony Kelley,Blue,Bantamweight,0,1,0,1,232
Tracy Cortez,Stephanie Egger,Red,WomenBantamweight,1,0,0,0,233
Bruno Silva,Tagir Ulanbekov,Blue,Flyweight,0,2,0,0,234
Carlos Condit,Court McGee,Red,Welterweight,7,9,8,8,235
Dequan Townsend,Dusko Todorovic,Blue,Middleweight,0,3,0,0,236
Charles Jourdain,Josh Culibao,Draw,Featherweight,1,2,0,1,237
Germaine de Randamie,Julianna Pena,Red,WomenBantamweight,6,2,5,1,238
